first_id,second_id
1,2.0
1,3.0
2,195.0
3,237.0
3,20.0
3,606.0
4,5.0
4,6.0
4,7.0
4,8.0
4,9.0
4,10.0
4,91.0
4,692.0
5,37.0
5,93.0
5,28.0
6,153.0
6,113.0
6,71.0
6,271.0
6,318.0
8,113.0
8,114.0
8,217.0
10,22.0
10,209.0
11,12.0
12,129.0
12,306.0
12,411.0
12,27.0
12,212.0
12,218.0
12,79.0
12,630.0
12,714.0
13,14.0
14,60.0
14,64.0
14,115.0
14,189.0
14,193.0
14,216.0
14,150.0
14,298.0
14,154.0
14,82.0
14,323.0
14,314.0
14,357.0
14,204.0
14,424.0
14,160.0
14,285.0
14,532.0
14,633.0
14,634.0
14,310.0
14,647.0
14,651.0
14,612.0
14,694.0
14,645.0
14,394.0
14,734.0
15,16.0
16,437.0
16,488.0
16,525.0
16,558.0
16,591.0
17,18.0
17,88.0
17,173.0
17,89.0
17,274.0
17,121.0
17,574.0
17,689.0
18,170.0
18,342.0
18,356.0
18,171.0
18,26.0
18,277.0
18,711.0
19,20.0
19,396.0
19,697.0
20,39.0
20,223.0
20,358.0
20,376.0
20,56.0
20,61.0
20,66.0
20,507.0
20,516.0
20,467.0
20,327.0
20,180.0
20,30.0
20,501.0
20,642.0
20,668.0
20,247.0
20,692.0
20,701.0
20,628.0
21,22.0
21,23.0
22,245.0
22,246.0
22,247.0
22,248.0
22,249.0
24,25.0
24,26.0
25,102.0
25,36.0
25,37.0
25,150.0
25,93.0
25,177.0
25,178.0
25,351.0
25,645.0
25,729.0
26,60.0
26,189.0
26,298.0
26,323.0
26,451.0
26,461.0
26,532.0
26,86.0
26,569.0
26,633.0
26,634.0
26,310.0
26,651.0
26,347.0
26,226.0
26,645.0
27,28.0
27,29.0
27,30.0
27,31.0
27,32.0
27,33.0
27,34.0
27,201.0
27,225.0
27,236.0
27,319.0
27,320.0
27,337.0
27,361.0
27,192.0
27,372.0
27,385.0
27,462.0
27,127.0
27,484.0
27,120.0
27,279.0
27,517.0
27,521.0
27,122.0
27,572.0
27,580.0
27,397.0
27,414.0
28,133.0
28,431.0
28,451.0
28,455.0
28,457.0
28,110.0
28,39.0
28,40.0
28,41.0
28,42.0
28,43.0
28,44.0
28,45.0
28,46.0
28,47.0
28,48.0
28,49.0
28,50.0
28,51.0
28,603.0
28,710.0
29,205.0
29,294.0
29,431.0
29,485.0
29,424.0
29,473.0
29,704.0
30,431.0
31,205.0
31,294.0
31,431.0
31,485.0
31,473.0
31,704.0
32,431.0
33,431.0
33,347.0
33,704.0
34,431.0
35,36.0
35,37.0
36,64.0
36,92.0
36,98.0
36,99.0
36,216.0
36,230.0
36,243.0
36,261.0
36,303.0
36,154.0
36,335.0
36,314.0
36,65.0
36,259.0
36,160.0
36,496.0
36,508.0
36,599.0
36,609.0
36,598.0
36,623.0
36,647.0
36,612.0
36,690.0
36,603.0
36,662.0
36,710.0
36,719.0
36,722.0
37,92.0
37,98.0
37,117.0
37,118.0
37,158.0
37,66.0
37,120.0
37,216.0
37,230.0
37,243.0
37,261.0
37,303.0
37,154.0
37,335.0
37,314.0
37,357.0
37,65.0
37,259.0
37,160.0
37,68.0
37,492.0
37,496.0
37,110.0
37,508.0
37,532.0
37,206.0
37,568.0
37,599.0
37,609.0
37,598.0
37,623.0
37,647.0
37,650.0
37,612.0
37,690.0
37,505.0
37,662.0
37,719.0
37,722.0
37,725.0
38,39.0
38,40.0
38,41.0
38,42.0
38,43.0
38,44.0
38,45.0
38,46.0
38,47.0
38,48.0
38,49.0
38,50.0
38,51.0
38,98.0
38,163.0
38,104.0
38,230.0
38,243.0
38,228.0
38,293.0
38,195.0
38,313.0
38,357.0
38,296.0
38,450.0
38,459.0
38,490.0
38,389.0
38,569.0
38,644.0
38,677.0
38,690.0
38,662.0
38,726.0
38,99.0
39,106.0
39,192.0
39,235.0
39,209.0
39,169.0
39,439.0
39,441.0
39,504.0
39,511.0
39,616.0
39,685.0
39,721.0
39,723.0
40,106.0
40,205.0
40,235.0
40,256.0
40,209.0
40,294.0
40,169.0
40,252.0
40,439.0
40,441.0
40,485.0
40,511.0
40,616.0
40,473.0
40,721.0
40,723.0
41,106.0
41,205.0
41,235.0
41,256.0
41,209.0
41,294.0
41,299.0
41,169.0
41,98.0
41,158.0
41,113.0
41,114.0
41,161.0
41,439.0
41,441.0
41,485.0
41,504.0
41,511.0
41,616.0
41,473.0
41,676.0
41,685.0
41,721.0
41,723.0
42,106.0
42,209.0
42,504.0
42,154.0
42,43.0
42,616.0
42,676.0
43,132.0
43,106.0
43,168.0
43,194.0
43,205.0
43,235.0
43,256.0
43,209.0
43,294.0
43,299.0
43,322.0
43,169.0
43,357.0
43,439.0
43,441.0
43,464.0
43,485.0
43,504.0
43,511.0
43,90.0
43,43.0
43,616.0
43,621.0
43,473.0
43,669.0
43,676.0
43,680.0
43,685.0
43,693.0
43,721.0
43,723.0
44,106.0
44,235.0
44,209.0
44,300.0
44,169.0
44,439.0
44,441.0
44,504.0
44,511.0
44,616.0
44,685.0
44,721.0
44,723.0
45,106.0
45,235.0
45,209.0
45,169.0
45,316.0
45,439.0
45,441.0
45,499.0
45,504.0
45,511.0
45,616.0
45,685.0
45,721.0
45,723.0
46,106.0
46,235.0
46,209.0
46,169.0
46,439.0
46,441.0
46,499.0
46,504.0
46,511.0
46,616.0
46,685.0
46,721.0
46,723.0
47,106.0
47,235.0
47,209.0
47,169.0
47,439.0
47,441.0
47,504.0
47,511.0
47,616.0
47,680.0
47,685.0
47,721.0
47,723.0
48,106.0
48,235.0
48,209.0
48,169.0
48,439.0
48,441.0
48,504.0
48,511.0
48,616.0
48,685.0
48,721.0
48,723.0
49,106.0
49,235.0
49,209.0
49,169.0
49,439.0
49,441.0
49,504.0
49,511.0
49,616.0
49,685.0
49,721.0
49,723.0
50,106.0
50,235.0
50,209.0
50,169.0
50,439.0
50,441.0
50,504.0
50,511.0
50,616.0
50,685.0
50,721.0
50,723.0
51,106.0
51,235.0
51,209.0
51,169.0
51,439.0
51,441.0
51,504.0
51,511.0
51,616.0
51,685.0
51,721.0
51,723.0
52,53.0
52,285.0
52,412.0
53,70.0
53,167.0
53,95.0
53,253.0
53,257.0
53,155.0
53,343.0
53,345.0
53,384.0
53,392.0
53,426.0
53,232.0
53,556.0
53,610.0
53,639.0
53,162.0
53,612.0
53,670.0
53,678.0
53,683.0
53,684.0
53,706.0
53,732.0
53,99.0
54,55.0
54,56.0
54,57.0
54,58.0
54,59.0
54,174.0
54,379.0
55,65.0
55,67.0
55,69.0
60,61.0
60,62.0
60,63.0
61,64.0
61,189.0
61,193.0
61,216.0
61,150.0
61,298.0
61,154.0
61,323.0
61,314.0
61,357.0
61,445.0
61,160.0
61,532.0
61,86.0
61,634.0
61,310.0
61,647.0
61,651.0
61,612.0
61,347.0
61,664.0
61,694.0
61,351.0
61,645.0
61,394.0
61,734.0
62,135.0
62,382.0
62,600.0
62,656.0
62,715.0
62,645.0
63,135.0
63,382.0
63,600.0
63,656.0
63,645.0
64,65.0
64,66.0
64,67.0
64,68.0
64,69.0
64,691.0
64,695.0
64,717.0
65,196.0
65,214.0
65,216.0
65,224.0
65,229.0
65,336.0
65,152.0
65,157.0
65,93.0
65,449.0
65,244.0
65,509.0
65,513.0
65,528.0
65,69.0
65,666.0
65,734.0
65,175.0
66,98.0
66,163.0
66,104.0
66,230.0
66,243.0
66,255.0
66,228.0
66,293.0
66,303.0
66,204.0
66,252.0
66,279.0
66,450.0
66,459.0
66,618.0
66,647.0
66,651.0
66,644.0
66,677.0
66,690.0
66,662.0
66,694.0
66,99.0
67,196.0
67,214.0
67,216.0
67,224.0
67,255.0
67,312.0
67,336.0
67,419.0
67,93.0
67,449.0
67,124.0
67,244.0
67,509.0
67,513.0
67,528.0
67,69.0
67,666.0
67,734.0
67,175.0
67,743.0
68,229.0
68,360.0
68,451.0
68,90.0
68,546.0
68,553.0
68,607.0
68,621.0
68,226.0
68,664.0
68,254.0
69,196.0
69,214.0
69,224.0
69,229.0
69,336.0
69,419.0
69,93.0
69,449.0
69,491.0
69,244.0
69,509.0
69,513.0
69,528.0
69,386.0
69,69.0
69,666.0
69,734.0
69,175.0
69,743.0
70,71.0
71,167.0
71,253.0
71,257.0
71,155.0
71,343.0
71,345.0
71,384.0
71,392.0
71,426.0
71,127.0
71,232.0
71,522.0
71,549.0
71,544.0
71,556.0
71,207.0
71,610.0
71,162.0
71,612.0
71,670.0
71,678.0
71,683.0
71,684.0
71,706.0
71,732.0
71,99.0
72,73.0
72,74.0
72,75.0
72,76.0
72,77.0
72,460.0
72,120.0
73,225.0
73,292.0
73,456.0
73,120.0
73,545.0
73,558.0
73,397.0
73,615.0
73,643.0
73,716.0
74,270.0
74,271.0
78,79.0
78,80.0
81,82.0
81,83.0
81,84.0
81,85.0
81,86.0
81,87.0
83,251.0
83,237.0
84,447.0
85,121.0
85,122.0
87,221.0
87,126.0
88,89.0
88,90.0
88,91.0
89,173.0
89,174.0
89,91.0
89,274.0
89,121.0
89,547.0
89,627.0
89,637.0
89,720.0
89,727.0
90,257.0
90,393.0
90,301.0
90,687.0
91,173.0
91,240.0
91,274.0
91,121.0
91,98.0
91,294.0
91,166.0
91,134.0
91,635.0
91,636.0
92,93.0
93,98.0
93,216.0
93,230.0
93,243.0
93,261.0
93,303.0
93,154.0
93,335.0
93,314.0
93,259.0
93,160.0
93,455.0
93,492.0
93,496.0
93,508.0
93,532.0
93,587.0
93,599.0
93,609.0
93,598.0
93,623.0
93,647.0
93,650.0
93,612.0
93,690.0
93,603.0
93,662.0
93,710.0
93,719.0
93,722.0
94,95.0
94,96.0
94,97.0
94,364.0
95,173.0
95,121.0
95,495.0
95,518.0
95,563.0
96,518.0
97,518.0
98,151.0
98,152.0
98,153.0
98,117.0
98,154.0
98,155.0
98,156.0
98,157.0
98,158.0
98,113.0
98,159.0
98,114.0
98,160.0
98,120.0
98,121.0
98,161.0
98,122.0
98,162.0
98,172.0
98,317.0
98,375.0
98,424.0
98,533.0
98,631.0
98,639.0
98,659.0
98,421.0
98,583.0
99,168.0
99,153.0
99,117.0
99,155.0
99,156.0
99,118.0
99,158.0
99,113.0
99,159.0
99,160.0
99,120.0
99,161.0
99,122.0
99,162.0
100,101.0
101,153.0
101,251.0
101,327.0
101,368.0
101,413.0
101,653.0
102,176.0
102,740.0
103,104.0
104,151.0
104,153.0
104,117.0
104,155.0
104,156.0
104,118.0
104,158.0
104,159.0
104,160.0
104,121.0
104,161.0
104,122.0
104,258.0
104,469.0
104,735.0
105,106.0
105,107.0
105,108.0
105,109.0
105,110.0
105,111.0
105,300.0
106,107.0
106,318.0
106,489.0
107,109.0
107,111.0
107,318.0
107,489.0
108,134.0
108,318.0
108,489.0
109,318.0
109,462.0
110,318.0
110,489.0
111,318.0
111,514.0
111,515.0
112,113.0
112,114.0
112,331.0
113,216.0
113,230.0
113,234.0
113,243.0
113,253.0
113,275.0
113,311.0
113,317.0
113,154.0
113,195.0
113,314.0
113,357.0
113,375.0
113,384.0
113,259.0
113,191.0
113,204.0
113,426.0
113,245.0
113,445.0
113,459.0
113,381.0
113,549.0
113,557.0
113,598.0
113,162.0
113,647.0
113,651.0
113,612.0
113,659.0
113,644.0
113,677.0
113,690.0
113,662.0
113,351.0
113,742.0
114,230.0
114,234.0
114,243.0
114,253.0
114,275.0
114,317.0
114,195.0
114,375.0
114,384.0
114,259.0
114,426.0
114,445.0
114,459.0
114,461.0
114,647.0
114,651.0
114,659.0
114,644.0
114,677.0
114,690.0
114,662.0
115,198.0
115,530.0
115,627.0
116,117.0
116,118.0
116,119.0
116,120.0
116,121.0
116,122.0
117,163.0
117,211.0
117,216.0
117,230.0
117,243.0
117,293.0
117,195.0
117,141.0
117,307.0
117,284.0
117,314.0
117,345.0
117,204.0
117,427.0
117,450.0
117,459.0
117,386.0
117,554.0
117,556.0
117,647.0
117,651.0
117,644.0
117,677.0
117,690.0
117,662.0
117,725.0
118,163.0
118,215.0
118,293.0
118,450.0
118,618.0
118,647.0
118,644.0
118,677.0
118,694.0
119,211.0
119,427.0
119,554.0
119,555.0
120,163.0
120,230.0
120,243.0
120,191.0
120,283.0
120,212.0
120,486.0
120,487.0
120,677.0
120,690.0
120,662.0
121,163.0
121,211.0
121,215.0
121,230.0
121,243.0
121,293.0
121,427.0
121,445.0
121,450.0
121,459.0
121,493.0
121,175.0
121,554.0
121,555.0
121,576.0
121,644.0
121,677.0
121,690.0
121,662.0
122,163.0
122,211.0
122,215.0
122,230.0
122,243.0
122,293.0
122,345.0
122,427.0
122,445.0
122,450.0
122,386.0
122,554.0
122,555.0
122,556.0
122,212.0
122,576.0
122,644.0
122,677.0
122,690.0
122,662.0
123,124.0
124,172.0
124,308.0
124,352.0
124,440.0
124,443.0
124,140.0
124,565.0
124,575.0
124,476.0
124,660.0
124,665.0
124,679.0
125,126.0
125,127.0
125,128.0
126,238.0
126,239.0
126,428.0
126,456.0
126,545.0
126,615.0
127,236.0
127,212.0
128,151.0
128,424.0
128,640.0
129,130.0
129,131.0
129,692.0
132,133.0
132,134.0
132,135.0
132,136.0
133,621.0
133,669.0
